"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,6,1.574958E-05
0,12,0.0004587899
0,18,0.002714156
0,24,0.008649729
0,30,0.01974489
0,36,0.0365868
0,42,0.05882436
0,48,0.08541409
0,54,0.1149572
0,60,0.1459898
0,66,0.1771783
0,72,0.2074231
0,78,0.2358943
0,84,0.262024
0,90,0.2854751
0,96,0.3060993
0,102,0.323894
0,108,0.338962
0,114,0.3514757
0,120,0.3616481
0,126,0.3697154
0,132,0.3759212
0,138,0.3805057
0,144,0.3836981
0,150,0.3857118
0,156,0.3867415
0,162,0.3869627
0,168,0.3865308
0,174,0.3855824
0,180,0.3842353
0,186,0.3825906
0,192,0.3807334
0,198,0.3787344
0,204,0.3766515
0,210,0.3745312
0,216,0.3724092
0,222,0.3703111
0,228,0.3682564
0,234,0.366259
0,240,0.3643284
0,246,0.3624709
0,252,0.3606896
0,258,0.358986
0,264,0.3573598
0,270,0.3558095
0,276,0.3543329
0,282,0.3529271
0,288,0.3515891
0,294,0.3503154
0,300,0.3491026
0,306,0.3479474
0,312,0.3468464
0,318,0.3457964
0,324,0.3447944
0,330,0.3438374
0,336,0.3429227
0,342,0.3420477
0,348,0.3412101
0,354,0.3404076
0,360,0.3396381
0,366,0.3388996
0,372,0.3381905
0,378,0.3375089
0,384,0.3368534
0,390,0.3362224
0,396,0.3356147
0,402,0.335029
0,408,0.3344642
0,414,0.3339192
0,420,0.3333929
0,426,0.3328846
0,432,0.3323932
0,438,0.331918
0,444,0.3314582
0,450,0.3310132
0,456,0.3305823
0,462,0.3301649
0,468,0.3297604
0,474,0.3293683
0,480,0.3289881
0,486,0.3286193
0,492,0.3282615
0,498,0.3279142
0,504,0.3275772
0,510,0.32725
0,516,0.3269323
0,522,0.3266237
0,528,0.326324
0,534,0.3260328
0,540,0.32575
0,546,0.3254752
0,552,0.3252082
0,558,0.3249488
0,564,0.3246967
0,570,0.3244517
0,576,0.3242137
0,582,0.3239823
0,588,0.3237576
0,594,0.3235392
0,600,0.3233269
0,606,0.3231208
0,612,0.3229205
0,618,0.3227259
0,624,0.3225369
0,630,0.3223533
0,636,0.3221751
0,642,0.3220019
0,648,0.3218338
0,654,0.3216707
0,660,0.3215123
0,666,0.3213585
0,672,0.3212093
0,678,0.3210644
0,684,0.3209239
0,690,0.3207876
0,696,0.3206554
0,702,0.3205272
0,708,0.3204028
0,714,0.3202822
0,720,0.3201653
0,726,0.3200519
0,732,0.3199421
0,738,0.3198355
0,744,0.3197323
0,750,0.3196323
0,756,0.3195353
0,762,0.3194413
0,768,0.3193503
0,774,0.3192621
0,780,0.3191766
0,786,0.3190937
0,792,0.3190134
0,798,0.3189355
0,804,0.3188601
0,810,0.3187869
0,816,0.318716
0,822,0.3186472
0,828,0.3185804
0,834,0.3185156
0,840,0.3184527
0,846,0.3183916
0,852,0.3183323
0,858,0.3182746
0,864,0.3182184
0,870,0.3181638
0,876,0.3181106
0,882,0.3180587
0,888,0.3180081
0,894,0.3179587
0,900,0.3179105
0,906,0.3178633
0,912,0.3178171
0,918,0.3177718
0,924,0.3177274
0,930,0.3176837
0,936,0.3176407
0,942,0.3175984
0,948,0.3175566
0,954,0.3175154
0,960,0.3174746
0,966,0.3174342
0,972,0.3173941
0,978,0.3173542
0,984,0.3173146
0,990,0.317275
0,996,0.3172355
0,1002,0.317196
0,1008,0.3171565
0,1014,0.3171168
0,1020,0.317077
0,1026,0.3170369
0,1032,0.3169966
0,1038,0.3169559
0,1044,0.3169148
0,1050,0.3168732
0,1056,0.3168311
0,1062,0.3167885
0,1068,0.3167452
0,1074,0.3167013
0,1080,0.3166566
0,1086,0.3166112
0,1092,0.316565
0,1098,0.3165179
0,1104,0.3164698
0,1110,0.3164208
0,1116,0.3163708
0,1122,0.3163197
0,1128,0.3162675
0,1134,0.3162141
0,1140,0.3161596
0,1146,0.3161038
0,1152,0.3160467
0,1158,0.3159883
0,1164,0.3159285
0,1170,0.3158673
0,1176,0.3158047
0,1182,0.3157405
0,1188,0.3156748
0,1194,0.3156076
0,1200,0.3155388
0,1206,0.3154683
0,1212,0.3153961
0,1218,0.3153222
0,1224,0.3152466
0,1230,0.3151691
0,1236,0.3150899
0,1242,0.3150088
0,1248,0.3149258
0,1254,0.3148409
0,1260,0.314754
0,1266,0.3146651
0,1272,0.3145743
0,1278,0.3144814
0,1284,0.3143864
0,1290,0.3142894
0,1296,0.3141901
0,1302,0.3140888
0,1308,0.3139853
0,1314,0.3138795
0,1320,0.3137716
0,1326,0.3136614
0,1332,0.3135489
0,1338,0.3134341
0,1344,0.3133169
0,1350,0.3131975
0,1356,0.3130756
0,1362,0.3129514
0,1368,0.3128247
0,1374,0.3126956
0,1380,0.3125641
0,1386,0.3124301
0,1392,0.3122936
0,1398,0.3121546
0,1404,0.3120131
0,1410,0.311869
0,1416,0.3117224
0,1422,0.3115732
0,1428,0.3114214
0,1434,0.311267
0,1440,0.31111
0,1446,0.3109664
0,1452,0.3112532
0,1458,0.3133695
0,1464,0.3191948
0,1470,0.3302099
0,1476,0.3469921
0,1482,0.3691763
0,1488,0.3957064
0,1494,0.4251746
0,1500,0.4561123
0,1506,0.4871847
0,1512,0.5172934
0,1518,0.5456107
0,1524,0.5715715
0,1530,0.5948412
0,1536,0.6152738
0,1542,0.6328688
0,1548,0.6477304
0,1554,0.660032
0,1560,0.6699879
0,1566,0.6778346
0,1572,0.6838162
0,1578,0.6881733
0,1584,0.6911352
0,1590,0.6929156
0,1596,0.6937092
0,1602,0.6936916
0,1608,0.6930183
0,1614,0.6918257
0,1620,0.690232
0,1626,0.688338
0,1632,0.6862289
0,1638,0.6839753
0,1644,0.6816352
0,1650,0.6792551
0,1656,0.6768705
0,1662,0.6745073
0,1668,0.6721848
0,1674,0.6699169
0,1680,0.6677132
0,1686,0.6655797
0,1692,0.66352
0,1698,0.6615351
0,1704,0.6596251
0,1710,0.6577882
0,1716,0.6560223
0,1722,0.6543245
0,1728,0.6526918
0,1734,0.6511207
0,1740,0.6496079
0,1746,0.6481499
0,1752,0.6467435
0,1758,0.6453853
0,1764,0.6440725
0,1770,0.6428019
0,1776,0.6415711
0,1782,0.6403773
0,1788,0.6392182
0,1794,0.6380914
0,1800,0.6369951
0,1806,0.6359272
0,1812,0.6348858
0,1818,0.6338695
0,1824,0.6328766
0,1830,0.6319056
0,1836,0.6309552
0,1842,0.6300243
