"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Acebutolol|Plasma (Peripheral Venous Blood) [µmol/l]"
1,1125,0.06585654
1,1140,0.0649686
1,1155,0.06410307
1,1170,0.06325864
1,1185,0.06243408
1,1200,0.06162823
1,1215,0.06084
1,1230,0.06006837
1,1245,0.05931238
1,1260,0.05857113
1,1275,0.05784376
1,1290,0.0571295
1,1305,0.05642759
1,1320,0.05573736
1,1335,0.05505815
1,1350,0.05438937
1,1365,0.05373044
1,1380,0.05308084
1,1395,0.0524401
1,1410,0.05180776
1,1425,0.05118339
1,1440,0.05056662
1,1455,0.04995708
1,1470,0.04935443
1,1485,0.04875838
1,1500,0.04816864
1,1515,0.04758495
1,1530,0.04700707
1,1545,0.04643479
1,1560,0.04586789
1,1575,0.04530621
1,1590,0.04474957
1,1605,0.04419782
1,1620,0.04365082
1,1635,0.04310846
1,1650,0.04257062
1,1665,0.0420372
1,1680,0.04150812
1,1695,0.04098329
1,1710,0.04046264
1,1725,0.03994611
1,1740,0.03943365
1,1755,0.03892521
1,1770,0.03842075
1,1785,0.03792024
1,1800,0.03742364
1,1815,0.03693095
1,1830,0.03644213
1,1845,0.03595717
1,1860,0.03547605
1,1875,0.03499879
1,1890,0.03452536
1,1905,0.03405577
1,1920,0.03359001
2,0,0
2,3,2.495397E-06
2,6,9.179903E-05
2,9,0.0005890249
2,12,0.002024667
2,15,0.005018091
2,18,0.01014796
2,21,0.01786054
2,24,0.0284231
2,27,0.04191123
2,30,0.05821918
2,33,0.07708655
2,36,0.09813466
2,39,0.1209065
2,42,0.1449035
2,45,0.1696169
2,48,0.1945525
2,51,0.2192495
2,54,0.2432939
2,57,0.2663268
2,60,0.2880486
2,63,0.3082205
2,66,0.3266626
2,69,0.3432507
2,72,0.3579113
2,75,0.3706159
2,78,0.381375
2,81,0.3902323
2,84,0.3972578
2,87,0.402543
2,90,0.4061953
2,93,0.4083331
2,96,0.4090823
2,99,0.4085721
2,102,0.4069325
2,105,0.4042916
2,108,0.4007734
2,111,0.396497
2,114,0.3915747
2,117,0.3861115
2,120,0.3802047
2,135,0.3468525
2,150,0.3124777
2,165,0.2812445
2,180,0.2546271
2,195,0.2326425
2,210,0.2146766
2,225,0.1999495
2,240,0.187734
2,255,0.1774346
2,270,0.1685954
2,285,0.1608807
2,300,0.1540481
2,315,0.1479234
2,330,0.1423808
2,345,0.1373282
2,360,0.1326964
2,375,0.1284324
2,390,0.1244941
2,405,0.1208472
2,420,0.1174631
2,435,0.1143174
2,450,0.1113887
2,465,0.1086581
2,480,0.106109
2,495,0.1037261
2,510,0.1014956
2,525,0.09940516
2,540,0.09744327
2,555,0.09559951
2,570,0.09386435
2,585,0.09222908
2,600,0.09068573
2,615,0.08922703
2,630,0.08784635
2,645,0.08653767
2,660,0.08529548
2,675,0.08411477
2,690,0.08299098
2,705,0.08191996
2,720,0.08089788
2,735,0.07992124
2,750,0.0789868
2,765,0.07809158
2,780,0.0772328
2,795,0.07640784
2,810,0.07561423
2,825,0.07484973
2,840,0.07411218
2,855,0.0733995
2,870,0.07270975
2,885,0.07204112
2,900,0.07139188
2,915,0.07076039
2,930,0.0701451
2,945,0.06954455
2,960,0.06895739
2,975,0.06838232
2,990,0.06781813
2,1005,0.06726369
2,1020,0.06671795
2,1035,0.06617993
2,1050,0.06564872
2,1065,0.06512348
2,1080,0.06460341
2,1095,0.06408781
2,1110,0.06357601
2,1125,0.06306741
2,1140,0.06256147
2,1155,0.06205766
2,1170,0.06155556
2,1185,0.06105474
2,1200,0.06055484
2,1215,0.06005553
2,1230,0.05955653
2,1245,0.05905758
2,1260,0.05855846
2,1275,0.05805899
2,1290,0.057559
2,1305,0.05705836
2,1320,0.05655696
2,1335,0.05605472
2,1350,0.05555157
2,1365,0.05504747
2,1380,0.0545424
2,1395,0.05403635
2,1410,0.05352932
2,1425,0.05302133
2,1440,0.05251243
2,1455,0.05200266
2,1470,0.05149207
2,1485,0.05098074
2,1500,0.05046874
2,1515,0.04995616
2,1530,0.04944308
2,1545,0.04892961
2,1560,0.04841585
2,1575,0.0479019
2,1590,0.04738788
2,1605,0.04687391
2,1620,0.0463601
2,1635,0.04584657
2,1650,0.04533346
2,1665,0.04482087
2,1680,0.04430893
2,1695,0.04379778
2,1710,0.04328753
2,1725,0.04277832
2,1740,0.04227027
2,1755,0.04176349
2,1770,0.04125812
2,1785,0.04075427
2,1800,0.04025207
2,1815,0.03975164
2,1830,0.03925308
2,1845,0.03875652
2,1860,0.03826207
2,1875,0.03776983
2,1890,0.03727991
2,1905,0.03679242
2,1920,0.03630746
3,0,0
3,3,9.618199E-06
3,6,0.0003252691
3,9,0.002028472
3,12,0.006879777
3,15,0.01689488
3,18,0.03384511
3,21,0.05888614
3,24,0.09238168
3,27,0.1338996
3,30,0.1823285
3,33,0.2360681
3,36,0.2932456
3,39,0.3519205
3,42,0.4102478
3,45,0.4665943
3,48,0.5196058
3,51,0.5682347
3,54,0.6117378
3,57,0.6496533
3,60,0.6817658
3,63,0.7080668
3,66,0.728713
3,69,0.7439871
3,72,0.7542622
3,75,0.7599717
3,78,0.7615834
3,81,0.7595782
3,84,0.7544346
3,87,0.7466156
3,90,0.7365599
3,93,0.7246756
3,96,0.7113366
3,99,0.6968804
3,102,0.6816075
3,105,0.6657822
3,108,0.6496338
3,111,0.6333588
3,114,0.6171232
3,117,0.6010649
3,120,0.5852966
3,135,0.5133156
3,150,0.4553656
3,165,0.4108191
3,180,0.3769353
3,195,0.3508084
3,210,0.3300751
3,225,0.3130313
3,240,0.2985273
3,255,0.2858155
3,270,0.2744181
3,285,0.2640291
3,300,0.2544494
3,315,0.2455454
3,330,0.2372237
3,345,0.2294155
3,360,0.2220681
3,375,0.2151387
3,390,0.2085917
3,405,0.2023967
3,420,0.1965266
3,435,0.1909576
3,450,0.1856681
3,465,0.1806383
3,480,0.1758506
3,495,0.1712883
3,510,0.1669365
3,525,0.1627815
3,540,0.1588105
3,555,0.155012
3,570,0.1513755
3,585,0.1478913
3,600,0.1445506
3,615,0.1413455
3,630,0.1382687
3,645,0.1353133
3,660,0.1324734
3,675,0.1297431
3,690,0.1271171
3,705,0.1245903
3,720,0.1221581
3,735,0.1198159
3,750,0.1175593
3,765,0.1153841
3,780,0.1132864
3,795,0.1112622
3,810,0.1093076
3,825,0.1074193
3,840,0.1055935
3,855,0.103827
3,870,0.1021165
3,885,0.100459
3,900,0.09885141
3,915,0.09729104
3,930,0.09577517
3,945,0.09430127
3,960,0.09286694
3,975,0.09146991
3,990,0.09010803
3,1005,0.08877926
3,1020,0.08748171
3,1035,0.08621358
3,1050,0.0849732
3,1065,0.08375898
3,1080,0.08256944
3,1095,0.08140321
3,1110,0.08025899
3,1125,0.07913557
3,1140,0.07803183
3,1155,0.07694672
3,1170,0.07587927
3,1185,0.07482857
3,1200,0.07379378
3,1215,0.07277412
3,1230,0.07176887
3,1245,0.07077736
3,1260,0.06979899
3,1275,0.06883318
3,1290,0.0678794
3,1305,0.06693718
3,1320,0.06600608
3,1335,0.06508569
3,1350,0.06417565
3,1365,0.06327561
3,1380,0.06238527
3,1395,0.06150435
3,1410,0.06063259
3,1425,0.05976978
3,1440,0.05891569
3,1455,0.05807014
3,1470,0.05723297
3,1485,0.05640402
3,1500,0.05558316
3,1515,0.05477028
3,1530,0.05396526
3,1545,0.05316802
3,1560,0.05237847
3,1575,0.05159654
3,1590,0.05082217
3,1605,0.0500553
3,1620,0.0492959
3,1635,0.04854391
3,1650,0.04779932
3,1665,0.04706208
3,1680,0.04633218
3,1695,0.0456096
3,1710,0.04489433
3,1725,0.04418635
3,1740,0.04348565
3,1755,0.04279222
3,1770,0.04210607
3,1785,0.04142718
3,1800,0.04075556
3,1815,0.0400912
3,1830,0.0394341
3,1845,0.03878426
3,1860,0.03814167
3,1875,0.03750633
3,1890,0.03687825
3,1905,0.03625742
3,1920,0.03564382
4,0,0
4,3,5.729104E-06
4,6,0.000238618
4,9,0.00162909
4,12,0.005845564
4,15,0.01501635
4,18,0.031325
4,21,0.05661271
4,24,0.09209085
4,27,0.1381953
4,30,0.194581
4,33,0.2602238
4,36,0.3335905
4,39,0.4128367
4,42,0.4959945
4,45,0.5811279
4,48,0.6664472
4,51,0.7503795
4,54,0.8316013
4,57,0.9090484
4,60,0.9819061
4,63,1.049588
4,66,1.111708
4,69,1.168052
4,72,1.218549
4,75,1.263246
4,78,1.302279
4,81,1.335856
4,84,1.364237
4,87,1.387717
4,90,1.406616
4,93,1.421268
4,96,1.432011
4,99,1.439179
4,102,1.443102
4,105,1.444098
4,108,1.442471
4,111,1.438509
4,114,1.432484
4,117,1.424649
4,120,1.415238
4,135,1.351541
4,150,1.273955
4,165,1.194741
4,180,1.120164
4,195,1.052787
4,210,0.9931029
4,225,0.9405814
4,240,0.8942875
4,255,0.8532113
4,270,0.8164262
4,285,0.7831472
4,300,0.7527403
4,315,0.7247061
4,330,0.698658
4,345,0.6742979
4,360,0.6513958
4,375,0.6297733
4,390,0.6092901
4,405,0.5898342
4,420,0.5713146
4,435,0.5536561
4,450,0.536795
4,465,0.5206767
4,480,0.5052533
4,495,0.4904824
4,510,0.476326
4,525,0.4627493
4,540,0.4497208
4,555,0.4372114
4,570,0.4251944
4,585,0.4136449
4,600,0.4025397
4,615,0.3918575
4,630,0.3815784
4,645,0.3716836
4,660,0.3621559
4,675,0.352979
4,690,0.3441377
4,705,0.3356175
4,720,0.3274052
4,735,0.3194877
4,750,0.311853
4,765,0.3044893
4,780,0.2973857
4,795,0.2905313
4,810,0.283916
4,825,0.2775299
4,840,0.2713634
4,855,0.2654073
4,870,0.2596527
4,885,0.2540912
4,900,0.2487143
4,915,0.2435143
4,930,0.2384835
4,945,0.2336144
4,960,0.2289
4,975,0.2243336
4,990,0.2199087
4,1005,0.2156189
4,1020,0.2114584
4,1035,0.2074214
4,1050,0.2035025
4,1065,0.1996964
4,1080,0.1959983
4,1095,0.1924032
4,1110,0.1889067
4,1125,0.1855045
4,1140,0.1821924
4,1155,0.1789666
4,1170,0.1758232
4,1185,0.1727587
4,1200,0.1697697
4,1215,0.1668531
4,1230,0.1640058
4,1245,0.1612249
4,1260,0.1585076
4,1275,0.1558513
4,1290,0.1532535
4,1305,0.1507118
4,1320,0.1482241
4,1335,0.1457881
4,1350,0.143402
4,1365,0.1410637
4,1380,0.1387714
4,1395,0.1365235
4,1410,0.1343184
4,1425,0.1321544
4,1440,0.1300301
4,1455,0.1279442
4,1470,0.1258952
4,1485,0.1238822
4,1500,0.1219037
4,1515,0.1199587
4,1530,0.1180462
4,1545,0.1161652
4,1560,0.1143147
4,1575,0.1124939
4,1590,0.1107018
4,1605,0.1089378
4,1620,0.107201
4,1635,0.1054908
4,1650,0.1038064
4,1665,0.1021472
4,1680,0.1005127
4,1695,0.09890217
4,1710,0.09731518
4,1725,0.09575117
4,1740,0.09420965
4,1755,0.09269016
4,1770,0.09119227
4,1785,0.08971554
4,1800,0.08825959
4,1815,0.08682404
4,1830,0.08540852
4,1845,0.08401269
4,1860,0.08263623
4,1875,0.08127882
4,1890,0.07994017
4,1905,0.07861999
4,1920,0.07731801
5,0,0
5,3,4.021087E-05
5,6,0.001493251
5,9,0.009270019
5,12,0.03035369
5,15,0.07175954
5,18,0.1390331
5,21,0.23514
5,24,0.3599007
5,27,0.5100628
5,30,0.6799108
5,33,0.8621841
5,36,1.049071
5,39,1.233097
5,42,1.407769
5,45,1.567956
5,48,1.710031
5,51,1.831824
5,54,1.932451
5,57,2.01208
5,60,2.071678
5,63,2.112767
5,66,2.137212
5,69,2.147049
5,72,2.144348
5,75,2.131126
5,78,2.109277
5,81,2.080529
5,84,2.046421
5,87,2.0083
5,90,1.967322
5,93,1.924466
5,96,1.880544
5,99,1.836223
5,102,1.792035
5,105,1.748402
5,108,1.70565
5,111,1.66402
5,114,1.623688
5,117,1.584773
5,120,1.547348
5,135,1.382978
5,150,1.253061
5,165,1.15003
5,180,1.066612
5,195,0.9972147
5,210,0.9378728
5,225,0.8858649
5,240,0.8393393
5,255,0.7970323
5,270,0.7580722
5,285,0.7218495
5,300,0.6879303
5,315,0.6559996
5,330,0.6258239
5,345,0.5972258
5,360,0.5700675
5,375,0.5442386
5,390,0.5196489
5,405,0.4962222
5,420,0.4738925
5,435,0.4526017
5,450,0.4322971
5,465,0.4129302
5,480,0.3944562
5,495,0.3768328
5,510,0.3600201
5,525,0.3439804
5,540,0.3286777
5,555,0.3140777
5,570,0.3001478
5,585,0.2868569
5,600,0.2741751
5,615,0.2620743
5,630,0.2505273
5,645,0.2395083
5,660,0.2289928
5,675,0.2189574
5,690,0.2093796
5,705,0.2002381
5,720,0.1915127
5,735,0.1831839
5,750,0.1752332
5,765,0.1676431
5,780,0.1603968
5,795,0.1534782
5,810,0.1468722
5,825,0.1405642
5,840,0.1345403
5,855,0.1287874
5,870,0.1232928
5,885,0.1180446
5,900,0.1130314
5,915,0.1082422
5,930,0.1036668
5,945,0.09929509
5,960,0.09511779
5,975,0.09112591
5,990,0.08731086
5,1005,0.08366451
5,1020,0.08017908
5,1035,0.07684717
5,1050,0.07366171
5,1065,0.07061601
5,1080,0.06770363
5,1095,0.06491849
5,1110,0.06225475
5,1125,0.05970687
5,1140,0.05726957
5,1155,0.05493782
5,1170,0.05270681
5,1185,0.05057197
5,1200,0.04852895
5,1215,0.04657357
5,1230,0.0447019
5,1245,0.04291014
5,1260,0.0411947
5,1275,0.03955216
5,1290,0.03797924
5,1305,0.03647282
5,1320,0.03502993
5,1335,0.03364775
5,1350,0.03232356
5,1365,0.03105479
5,1380,0.02983898
5,1395,0.0286738
5,1410,0.02755701
5,1425,0.02648647
5,1440,0.02546016
5,1455,0.02447614
5,1470,0.02353255
5,1485,0.02262763
5,1500,0.0217597
5,1515,0.02092715
5,1530,0.02012845
5,1545,0.01936213
5,1560,0.01862681
5,1575,0.01792114
5,1590,0.01724386
5,1605,0.01659375
5,1620,0.01596965
5,1635,0.01537046
5,1650,0.01479512
5,1665,0.01424262
5,1680,0.01371199
5,1695,0.01320231
5,1710,0.01271271
5,1725,0.01224235
5,1740,0.01179041
5,1755,0.01135613
5,1770,0.01093879
5,1785,0.01053767
5,1800,0.01015212
5,1815,0.009781475
5,1830,0.00942514
5,1845,0.009082524
5,1860,0.008753066
5,1875,0.008436231
5,1890,0.008131506
