"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Gabapentin|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.004607562
0,6,0.08857539
0,9,0.3670048
0,12,0.8933142
0,15,1.667611
0,18,2.658768
0,21,3.821293
0,24,5.106284
0,27,6.467662
0,30,7.865181
0,33,9.265433
0,36,10.6417
0,39,11.97335
0,42,13.24491
0,45,14.4452
0,48,15.5665
0,51,16.60383
0,54,17.55445
0,57,18.41743
0,60,19.19327
0,63,19.8837
0,66,20.49148
0,69,21.0202
0,72,21.47415
0,75,21.85818
0,78,22.17757
0,81,22.43784
0,84,22.64466
0,87,22.80368
0,90,22.92045
0,93,23.00026
0,96,23.04811
0,99,23.06868
0,102,23.06626
0,105,23.04477
0,108,23.00773
0,111,22.95826
0,114,22.89912
0,117,22.83268
0,120,22.761
0,135,22.37511
0,150,22.01628
0,165,21.71496
0,180,21.46178
0,195,21.23947
0,210,21.03484
0,225,20.84007
0,240,20.65108
0,255,20.46584
0,270,20.2834
0,285,20.10332
0,300,19.92544
0,315,19.74968
0,330,19.57603
0,345,19.40452
0,360,19.23516
0,375,19.06797
0,390,18.90294
0,405,18.7401
0,420,18.57941
0,435,18.42089
0,450,18.26451
0,465,18.11025
0,480,17.95807
0,495,17.80796
0,510,17.65988
0,525,17.5138
0,540,17.36967
0,555,17.22747
0,570,17.08716
0,585,16.94869
0,600,16.81204
0,615,16.67715
0,630,16.544
0,645,16.41254
0,660,16.28274
0,675,16.15455
0,690,16.02795
0,705,15.90289
0,720,15.77933
0,735,15.65725
0,750,15.53661
0,765,15.41737
0,780,15.2995
0,795,15.18296
0,810,15.06773
0,825,14.95376
0,840,14.84104
0,855,14.72953
0,870,14.6192
0,885,14.51001
0,900,14.40196
0,915,14.29499
0,930,14.1891
0,945,14.08424
0,960,13.9804
0,975,13.87756
0,990,13.77568
0,1005,13.67474
0,1020,13.57473
0,1035,13.47561
0,1050,13.37737
0,1065,13.27998
0,1080,13.18343
0,1095,13.08769
0,1110,12.99275
0,1125,12.89858
0,1140,12.80517
0,1155,12.71251
0,1170,12.62057
0,1185,12.52933
0,1200,12.43879
0,1215,12.34892
0,1230,12.25972
0,1245,12.17116
0,1260,12.08324
0,1275,11.99593
0,1290,11.90924
0,1305,11.82313
0,1320,11.73761
0,1335,11.65267
0,1350,11.56828
0,1365,11.48444
0,1380,11.40114
0,1395,11.31837
0,1410,11.23612
0,1425,11.15437
0,1440,11.07313
0,1455,10.99239
0,1470,10.91213
0,1485,10.83235
0,1500,10.75303
0,1515,10.67418
0,1530,10.59579
0,1545,10.51785
0,1560,10.44035
0,1575,10.36329
0,1590,10.28666
0,1605,10.21046
0,1620,10.13468
0,1635,10.05932
0,1650,9.984367
0,1665,9.909826
0,1680,9.83569
0,1695,9.761953
0,1710,9.688613
0,1725,9.615665
0,1740,9.543108
0,1755,9.470937
0,1770,9.399149
