"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,6,3.288445E-06
0,12,0.000113441
0,18,0.0007486219
0,24,0.002557174
0,30,0.00608901
0,36,0.01156292
0,42,0.01884572
0,48,0.02756175
0,54,0.03722654
0,60,0.04735016
0,66,0.05750003
0,72,0.06733031
0,78,0.07658841
0,84,0.08510776
0,90,0.0927931
0,96,0.09960687
0,102,0.105556
0,108,0.1106796
0,114,0.1150383
0,120,0.1187063
0,126,0.1217646
0,132,0.1242956
0,138,0.1263797
0,144,0.1280917
0,150,0.1294992
0,156,0.1306612
0,162,0.1316279
0,168,0.1324407
0,174,0.1331333
0,180,0.133732
0,186,0.1342577
0,192,0.134726
0,198,0.1351488
0,204,0.1355342
0,210,0.1358878
0,216,0.1362136
0,222,0.1365146
0,228,0.1367931
0,234,0.1370509
0,240,0.1372896
0,246,0.1375104
0,252,0.1377146
0,258,0.1379032
0,264,0.1380771
0,270,0.1382375
0,276,0.1383852
0,282,0.1385212
0,288,0.1386462
0,294,0.1387612
0,300,0.1388669
0,306,0.1389642
0,312,0.1390537
0,318,0.1391361
0,324,0.1392122
0,330,0.1392825
0,336,0.1393476
0,342,0.1394081
0,348,0.1394644
0,354,0.1395172
0,360,0.1395667
0,366,0.1396134
0,372,0.1396578
0,378,0.1397002
0,384,0.1397408
0,390,0.1397801
0,396,0.1398183
0,402,0.1398556
0,408,0.1398923
0,414,0.1399287
0,420,0.1399649
0,426,0.1400011
0,432,0.1400375
0,438,0.1400743
0,444,0.1401116
0,450,0.1401495
0,456,0.1401881
0,462,0.1402276
0,468,0.1402681
0,474,0.1403096
0,480,0.1403523
0,486,0.1403961
0,492,0.1404412
0,498,0.1404877
0,504,0.1405355
0,510,0.1405847
0,516,0.1406354
0,522,0.1406875
0,528,0.1407412
0,534,0.1407964
0,540,0.1408532
0,546,0.1409115
0,552,0.1409715
0,558,0.1410329
0,564,0.141096
0,570,0.1411607
0,576,0.141227
0,582,0.1412948
0,588,0.1413642
0,594,0.1414352
0,600,0.1415077
0,606,0.1415817
0,612,0.1416573
0,618,0.1417343
0,624,0.1418128
0,630,0.1418928
0,636,0.1419742
0,642,0.142057
0,648,0.1421411
0,654,0.1422266
0,660,0.1423135
0,666,0.1424016
0,672,0.142491
0,678,0.1425816
0,684,0.1426734
0,690,0.1427663
0,696,0.1428604
0,702,0.1429556
0,708,0.1430518
0,714,0.1431491
0,720,0.1432473
0,726,0.1433465
0,732,0.1434466
0,738,0.1435476
0,744,0.1436495
0,750,0.1437521
0,756,0.1438555
0,762,0.1439596
0,768,0.1440645
0,774,0.1441699
0,780,0.144276
0,786,0.1443827
0,792,0.1444899
0,798,0.1445976
0,804,0.1447057
0,810,0.1448143
0,816,0.1449233
0,822,0.1450326
0,828,0.1451422
0,834,0.1452521
0,840,0.1453622
0,846,0.1454726
0,852,0.145583
0,858,0.1456936
0,864,0.1458043
0,870,0.1459151
0,876,0.1460258
0,882,0.1461365
0,888,0.1462472
0,894,0.1463577
0,900,0.1464681
0,906,0.1465784
0,912,0.1466884
0,918,0.1467982
0,924,0.1469077
0,930,0.1470169
0,936,0.1471258
0,942,0.1472343
0,948,0.1473423
0,954,0.14745
0,960,0.1475571
0,966,0.1476637
0,972,0.1477698
0,978,0.1478753
0,984,0.1479802
0,990,0.1480845
0,996,0.1481881
0,1002,0.148291
0,1008,0.1483932
0,1014,0.1484946
0,1020,0.1485952
0,1026,0.148695
0,1032,0.1487939
0,1038,0.148892
0,1044,0.1489891
0,1050,0.1490853
0,1056,0.1491806
0,1062,0.1492749
0,1068,0.1493681
0,1074,0.1494603
0,1080,0.1495515
0,1086,0.1496416
0,1092,0.1497305
0,1098,0.1498183
0,1104,0.1499049
0,1110,0.1499904
0,1116,0.1500746
0,1122,0.1501576
0,1128,0.1502393
0,1134,0.1503197
0,1140,0.1503988
0,1146,0.1504766
0,1152,0.1505531
0,1158,0.1506282
0,1164,0.1507019
0,1170,0.1507741
0,1176,0.150845
0,1182,0.1509144
0,1188,0.1509823
0,1194,0.1510487
0,1200,0.1511136
0,1206,0.151177
0,1212,0.1512389
0,1218,0.1512992
0,1224,0.1513579
0,1230,0.151415
0,1236,0.1514705
0,1242,0.1515244
0,1248,0.1515767
0,1254,0.1516272
0,1260,0.1516761
0,1266,0.1517234
0,1272,0.1517689
0,1278,0.1518127
0,1284,0.1518547
0,1290,0.1518951
0,1296,0.1519336
0,1302,0.1519704
0,1308,0.1520055
0,1314,0.1520387
0,1320,0.1520701
0,1326,0.1520998
0,1332,0.1521275
0,1338,0.1521535
0,1344,0.1521776
0,1350,0.1521999
0,1356,0.1522202
0,1362,0.1522388
0,1368,0.1522554
0,1374,0.1522702
0,1380,0.152283
0,1386,0.1522939
0,1392,0.1523029
0,1398,0.15231
0,1404,0.1523152
0,1410,0.1523184
0,1416,0.1523197
0,1422,0.1523191
0,1428,0.1523164
0,1434,0.1523119
0,1440,0.1523053
0,1446,0.1523002
0,1452,0.1524017
0,1458,0.1530333
0,1464,0.1548492
0,1470,0.1584003
0,1476,0.1639014
0,1482,0.1712135
0,1488,0.1799558
0,1494,0.1896406
0,1500,0.1997763
0,1506,0.2099302
0,1512,0.2197567
0,1518,0.2290041
0,1524,0.2375065
0,1530,0.2451695
0,1536,0.2519562
0,1542,0.257874
0,1548,0.2629626
0,1554,0.2672831
0,1560,0.2709096
0,1566,0.2739235
0,1572,0.2764074
0,1578,0.2784417
0,1584,0.2801014
0,1590,0.2814541
0,1596,0.2825589
0,1602,0.2834659
0,1608,0.2842168
0,1614,0.2848451
0,1620,0.2853774
0,1626,0.2858343
0,1632,0.2862317
0,1638,0.2865813
0,1644,0.2868914
0,1650,0.2871675
0,1656,0.2874137
0,1662,0.287633
0,1668,0.2878277
0,1674,0.2879997
0,1680,0.2881504
0,1686,0.2882812
0,1692,0.2883933
0,1698,0.2884878
0,1704,0.2885657
0,1710,0.2886279
0,1716,0.2886755
0,1722,0.2887093
0,1728,0.2887303
0,1734,0.2887392
0,1740,0.2887369
0,1746,0.2887242
0,1752,0.2887018
0,1758,0.2886705
0,1764,0.2886308
0,1770,0.2885834
0,1776,0.2885289
0,1782,0.288468
0,1788,0.288401
0,1794,0.2883285
0,1800,0.2882509
0,1806,0.2881687
0,1812,0.2880823
0,1818,0.287992
0,1824,0.2878982
0,1830,0.2878012
0,1836,0.2877012
0,1842,0.2875986
0,1848,0.2874937
0,1854,0.2873865
0,1860,0.2872775
0,1866,0.2871666
0,1872,0.2870542
0,1878,0.2869404
0,1884,0.2868254
0,1890,0.2867092
0,1896,0.2865921
0,1902,0.2864741
0,1908,0.2863554
0,1914,0.286236
0,1920,0.2861161
0,1926,0.2859957
0,1932,0.2858749
0,1938,0.2857538
0,1944,0.2856323
0,1950,0.2855107
