"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Whole Blood (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,1.033745E-06
0,6,4.550965E-05
0,9,0.000314472
0,12,0.001112246
0,15,0.002797625
0,18,0.005733921
0,21,0.01025737
0,24,0.01665701
0,27,0.02516246
0,30,0.03593731
0,33,0.04907722
0,36,0.06461202
0,39,0.08251064
0,42,0.1026888
0,45,0.1250177
0,48,0.1493338
0,51,0.1754478
0,54,0.203154
0,57,0.2322381
0,60,0.262484
0,63,0.2936797
0,66,0.3256215
0,69,0.3581172
0,72,0.3909887
0,75,0.4240733
0,78,0.4572243
0,81,0.4903112
0,84,0.5232191
0,87,0.5558485
0,90,0.5881143
0,93,0.6199442
0,96,0.6512781
0,99,0.6820672
0,102,0.7122719
0,105,0.7418617
0,108,0.7708134
0,111,0.7991105
0,114,0.8267422
0,117,0.8537027
0,120,0.8799899
0,135,1.001476
0,150,1.107267
0,165,1.198978
0,180,1.278289
0,195,1.346727
0,210,1.405607
0,225,1.456051
0,240,1.49902
0,255,1.535348
0,270,1.565765
0,285,1.590919
0,300,1.611388
0,315,1.62769
0,330,1.640291
0,345,1.64961
0,360,1.656024
0,375,1.659869
0,390,1.661449
0,405,1.661032
0,420,1.658861
0,435,1.655149
0,450,1.650087
0,465,1.643843
0,480,1.636568
0,495,1.628395
0,510,1.61944
0,525,1.609808
0,540,1.599591
0,555,1.588871
0,570,1.57772
0,585,1.566202
0,600,1.554374
0,615,1.542287
0,630,1.529987
0,645,1.517514
0,660,1.504904
0,675,1.49219
0,690,1.479399
0,705,1.466559
0,720,1.453691
0,735,1.440818
0,750,1.427956
0,765,1.415123
0,780,1.402334
0,795,1.3896
0,810,1.376934
0,825,1.364345
0,840,1.351843
0,855,1.339434
0,870,1.327126
0,885,1.314924
0,900,1.302833
0,915,1.290857
0,930,1.278999
0,945,1.267263
0,960,1.25565
0,975,1.244161
0,990,1.232799
0,1005,1.221564
0,1020,1.210456
0,1035,1.199476
0,1050,1.188623
0,1065,1.177897
0,1080,1.167297
0,1095,1.156824
0,1110,1.146474
0,1125,1.136248
0,1140,1.126145
0,1155,1.116162
0,1170,1.106299
0,1185,1.096554
0,1200,1.086925
0,1215,1.077412
0,1230,1.068011
0,1245,1.058722
0,1260,1.049542
0,1275,1.04047
0,1290,1.031505
0,1305,1.022645
0,1320,1.013887
0,1335,1.00523
0,1350,0.9966718
0,1365,0.9882115
0,1380,0.9798471
0,1395,0.9715767
0,1410,0.9633987
0,1425,0.9553114
0,1440,0.9473132
1,0,0
1,3,4.948965E-07
1,6,1.724698E-05
1,9,0.0001085704
1,12,0.0003757844
1,15,0.0009486231
1,18,0.00196272
1,21,0.003538304
1,24,0.005764899
1,27,0.008693143
1,30,0.01233295
1,33,0.01665639
1,36,0.02160386
1,39,0.0270916
1,42,0.03301961
1,45,0.03927911
1,48,0.04575897
1,51,0.05235098
1,54,0.05895383
1,57,0.0654759
1,60,0.07183699
1,63,0.07796923
1,66,0.08381718
1,69,0.08933754
1,72,0.09449834
1,75,0.09927793
1,78,0.1036639
1,81,0.1076518
1,84,0.1112439
1,87,0.1144482
1,90,0.1172772
1,93,0.1197465
1,96,0.1218744
1,99,0.1236811
1,102,0.1251883
1,105,0.1264186
1,108,0.127395
1,111,0.1281403
1,114,0.1286772
1,117,0.1290274
1,120,0.1292122
1,135,0.128307
1,150,0.1257123
1,165,0.122651
1,180,0.1197087
1,195,0.1171023
1,210,0.1148733
1,225,0.1129924
1,240,0.11141
1,255,0.1100768
1,270,0.1089507
1,285,0.1079972
1,300,0.1071887
1,315,0.1065027
1,330,0.1059211
1,345,0.1054288
1,360,0.1050135
1,375,0.104665
1,390,0.1043744
1,405,0.1041346
1,420,0.1039393
1,435,0.1037833
1,450,0.1036622
1,465,0.103572
1,480,0.1035095
1,495,0.1034717
1,510,0.1034562
1,525,0.1034607
1,540,0.1034833
1,555,0.1035222
1,570,0.1035759
1,585,0.1036429
1,600,0.1037221
1,615,0.1038121
1,630,0.1039119
1,645,0.1040206
1,660,0.1041372
1,675,0.1042607
1,690,0.1043905
1,705,0.1045256
1,720,0.1046655
1,735,0.1048092
1,750,0.1049563
1,765,0.105106
1,780,0.1052577
1,795,0.1054109
1,810,0.1055649
1,825,0.1057192
1,840,0.1058733
1,855,0.1060267
1,870,0.1061789
1,885,0.1063294
1,900,0.1064777
1,915,0.1066235
1,930,0.1067662
1,945,0.1069056
1,960,0.1070412
1,975,0.1071726
1,990,0.1072994
1,1005,0.1074214
1,1020,0.1075382
1,1035,0.1076494
1,1050,0.1077549
1,1065,0.1078542
1,1080,0.1079471
1,1095,0.1080334
1,1110,0.1081127
1,1125,0.1081849
1,1140,0.1082498
1,1155,0.1083071
1,1170,0.1083566
1,1185,0.1083982
1,1200,0.1084317
1,1215,0.1084568
1,1230,0.1084736
1,1245,0.1084817
1,1260,0.1084811
1,1275,0.1084717
1,1290,0.1084534
1,1305,0.1084261
1,1320,0.1083896
1,1335,0.1083439
1,1350,0.108289
1,1365,0.1082248
1,1380,0.1081511
1,1395,0.1080681
1,1410,0.1079757
1,1425,0.1078738
1,1440,0.1077624
2,0,0
2,3,3.754095E-07
2,6,1.566526E-05
2,9,0.0001043095
2,12,0.0003637423
2,15,0.0009157237
2,18,0.001893802
2,21,0.003430957
2,24,0.005647963
2,27,0.008643796
2,30,0.01248926
2,33,0.01722414
2,36,0.02285761
2,39,0.02937126
2,42,0.03672365
2,45,0.04485565
2,48,0.05369573
2,51,0.06316481
2,54,0.07318027
2,57,0.0836592
2,60,0.09452084
2,63,0.1056883
2,66,0.1170895
2,69,0.1286583
2,72,0.1403341
2,75,0.1520624
2,78,0.1637946
2,81,0.1754874
2,84,0.1871027
2,87,0.1986074
2,90,0.2099725
2,93,0.2211732
2,96,0.2321882
2,99,0.2429995
2,102,0.2535922
2,105,0.2639537
2,108,0.2740739
2,111,0.2839447
2,114,0.2935599
2,117,0.3029149
2,120,0.3120063
2,135,0.3534782
2,150,0.3884436
2,165,0.4173434
2,180,0.4407839
2,195,0.4594269
2,210,0.4739279
2,225,0.4849031
2,240,0.492913
2,255,0.4984548
2,270,0.5019616
2,285,0.5038052
2,300,0.5043008
2,315,0.5037131
2,330,0.5022627
2,345,0.5001321
2,360,0.4974715
2,375,0.4944043
2,390,0.4910309
2,405,0.4874333
2,420,0.4836777
2,435,0.4798177
2,450,0.4758958
2,465,0.4719461
2,480,0.4679952
2,495,0.4640636
2,510,0.4601671
2,525,0.4563174
2,540,0.4525228
2,555,0.4487891
2,570,0.4451202
2,585,0.4415182
2,600,0.437984
2,615,0.4345178
2,630,0.4311188
2,645,0.4277859
2,660,0.4245177
2,675,0.4213125
2,690,0.4181684
2,705,0.4150837
2,720,0.4120565
2,735,0.4090849
2,750,0.406167
2,765,0.4033011
2,780,0.4004855
2,795,0.3977187
2,810,0.3949988
2,825,0.3923246
2,840,0.3896946
2,855,0.3871073
2,870,0.3845616
2,885,0.382056
2,900,0.3795894
2,915,0.3771607
2,930,0.3747686
2,945,0.3724122
2,960,0.3700904
2,975,0.3678021
2,990,0.3655464
2,1005,0.3633223
2,1020,0.3611289
2,1035,0.3589652
2,1050,0.3568304
2,1065,0.3547237
2,1080,0.3526441
2,1095,0.3505909
2,1110,0.3485632
2,1125,0.3465603
2,1140,0.3445814
2,1155,0.3426258
2,1170,0.3406926
2,1185,0.3387814
2,1200,0.3368912
2,1215,0.3350214
2,1230,0.3331714
2,1245,0.3313406
2,1260,0.3295282
2,1275,0.3277337
2,1290,0.3259565
2,1305,0.324196
2,1320,0.3224515
2,1335,0.3207226
2,1350,0.3190088
2,1365,0.3173094
2,1380,0.315624
2,1395,0.313952
2,1410,0.3122931
2,1425,0.3106467
2,1440,0.3090123
3,0,0
3,3,1.492852E-07
3,6,6.631271E-06
3,9,4.553136E-05
3,12,0.0001624391
3,15,0.0004168686
3,18,0.0008764053
3,21,0.001610232
3,24,0.002682972
3,27,0.004149713
3,30,0.006052734
3,33,0.008419997
3,36,0.0112651
3,39,0.01458836
3,42,0.01837859
3,45,0.02261523
3,48,0.02727054
3,51,0.03231158
3,54,0.03770212
3,57,0.04340408
3,60,0.04937878
3,63,0.05558793
3,66,0.06199433
3,69,0.06856237
3,72,0.07525848
3,75,0.08205125
3,78,0.08891163
3,81,0.09581294
3,84,0.1027309
3,87,0.1096434
3,90,0.1165308
3,93,0.1233753
3,96,0.1301612
3,99,0.1368745
3,102,0.1435031
3,105,0.1500364
3,108,0.156465
3,111,0.1627812
3,114,0.1689782
3,117,0.1750503
3,120,0.180993
3,135,0.2086573
3,150,0.2327984
3,165,0.2534823
3,180,0.2709375
3,195,0.2854722
3,210,0.2974246
3,225,0.3071323
3,240,0.3149158
3,255,0.3210688
3,270,0.3258545
3,285,0.3295053
3,300,0.3322236
3,315,0.3341838
3,330,0.3355353
3,345,0.3364044
3,360,0.3368969
3,375,0.3371006
